		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
01.08.23	6:45	11.6	12.0	11.6	51	1.8	2.7	NNW	2.41	4.5	NNW	10.6	10.8	9.8	1013.1	0.00	0.0	0.070	0.000	13.6	58	5.5	12.8	10.75	1.2204	344	1	100.0	15
01.08.23	7:00	11.3	11.8	11.3	53	2.0	3.1	NW	2.82	4.9	NW	10.0	10.5	9.2	1013.0	0.00	0.0	0.073	0.000	13.6	58	5.4	12.8	10.75	1.2205	349	1	100.0	15
01.08.23	7:15	13.3	13.3	11.3	47	2.2	3.1	NNW	2.82	5.4	NW	12.4	12.2	11.3	1012.9	0.00	0.0	0.052	0.000	13.6	58	5.4	12.8	10.75	1.2205	343	1	100.0	15
01.08.23	7:30	14.8	14.8	13.4	48	3.9	2.7	NNW	2.41	4.9	NNW	14.4	13.7	13.3	1012.9	0.00	0.0	0.036	0.000	13.5	58	5.4	12.7	10.75	1.2208	345	1	100.0	15
01.08.23	7:45	15.6	15.6	14.9	43	3.0	2.7	NW	2.41	5.4	WNW	15.3	14.2	13.9	1012.8	0.00	0.0	0.029	0.000	13.8	60	6.2	13.1	11.09	1.2186	349	1	100.0	15
01.08.23	8:00	15.9	15.9	15.5	45	4.0	3.6	WNW	3.22	4.9	WNW	15.1	14.6	13.8	1012.9	0.00	0.0	0.025	0.000	14.9	62	7.7	14.2	11.47	1.2130	346	1	100.0	15
01.08.23	8:15	15.9	15.9	15.8	45	4.0	4.0	WNW	3.62	5.4	WNW	14.7	14.6	13.4	1012.8	0.00	0.0	0.025	0.000	15.7	65	9.1	15.2	12.05	1.2084	346	1	100.0	15
01.08.23	8:30	16.3	16.4	15.9	47	4.9	3.6	WNW	3.22	5.4	WNW	15.6	15.1	14.4	1012.8	0.00	0.0	0.021	0.000	16.6	63	9.5	16.1	11.65	1.2042	347	1	100.0	15
01.08.23	8:45	17.0	17.0	16.3	48	5.9	3.1	WNW	2.82	4.9	W	16.9	15.8	15.7	1012.7	0.00	0.0	0.014	0.000	17.1	61	9.5	16.6	11.25	1.2018	350	1	100.0	15
01.08.23	9:00	17.4	17.6	17.0	46	5.7	3.1	WNW	2.82	4.5	WNW	17.4	16.2	16.2	1012.8	0.00	0.0	0.009	0.000	17.3	60	9.5	16.7	11.09	1.2010	346	1	100.0	15
01.08.23	9:15	17.7	17.7	17.3	42	4.6	3.1	WNW	2.82	4.5	WNW	17.7	16.3	16.3	1012.7	0.00	0.0	0.007	0.000	17.5	60	9.6	16.9	11.08	1.2001	351	1	100.0	15
01.08.23	9:30	18.2	18.2	17.7	40	4.3	3.1	WNW	2.82	4.5	WNW	18.2	16.7	16.7	1012.7	0.00	0.0	0.002	0.000	17.6	59	9.5	17.1	10.95	1.1998	344	1	100.0	15
01.08.23	9:45	17.8	18.2	17.8	43	5.0	3.6	WNW	3.22	4.9	WNW	17.3	16.4	16.0	1012.7	0.00	0.0	0.006	0.000	17.7	59	9.6	17.2	10.95	1.1992	348	1	100.0	15
01.08.23	10:00	18.3	18.3	17.8	39	4.1	3.1	WNW	2.82	4.5	WNW	18.3	16.8	16.8	1012.7	0.00	0.0	0.001	0.000	17.9	59	9.8	17.3	10.95	1.1983	347	1	100.0	15
